Benchmark,Source File,Optimized File,Root Struct,Preprocess Result,Time Seconds,Message
test_secp256k1_scalarmult,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_secp256k1_scalarmult_llzk/test_secp256k1_scalarmult.llzk,,Secp256k1ScalarMult_36,error,4.495140,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_secp256k1_scalarmult_llzk/test_secp256k1_scalarmult.llzk:2029:16: warning: failed to transform op: could not identify an upper bound
      %410:2 = scf.while (%arg5 = %407, %arg6 = %409) : (!felt.type<""bn128"">, !felt.type<""bn128"">) -> (!felt.type<""bn128"">, !felt.type<""bn128"">) {
               ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_secp256k1_scalarmult_llzk/test_secp256k1_scalarmult.llzk:2029:16: note: see current o"
test_template_assert_valid_signed_header,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_template_assert_valid_signed_header_llzk/test_template_assert_valid_signed_header.llzk,,TemplateAssertValidSignedHeader_0,error,0.045361,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_template_assert_valid_signed_header_llzk/test_template_assert_valid_signed_header.llzk:2:48: error: expected '{' to begin a region
  struct.def @TemplateAssertValidSignedHeader_0<[]> {
                                               ^"
theta_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/theta_test_llzk/theta_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/theta_test.llzk,Theta_9,success,2.247112,
trace_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/trace_test_llzk/trace_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/trace_test.llzk,trace_1,success,0.059649,
tranpose_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/tranpose_test_llzk/tranpose_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/tranpose_test.llzk,transpose_0,success,0.052249,
utils_GetValueByIndex,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_GetValueByIndex_llzk/utils_GetValueByIndex.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_GetValueByIndex.llzk,getValueByIndex_3,success,0.088999,
utils_getClaimExpiration,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_getClaimExpiration_llzk/utils_getClaimExpiration.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_getClaimExpiration.llzk,getClaimExpiration_2,success,0.063632,
utils_getClaimSubjectOtherIden,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_getClaimSubjectOtherIden_llzk/utils_getClaimSubjectOtherIden.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_getClaimSubjectOtherIden.llzk,getClaimSubjectOtherIden_8,success,0.108467,
utils_getSubjectLocation,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_getSubjectLocation_llzk/utils_getSubjectLocation.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_getSubjectLocation.llzk,getSubjectLocation_1,success,0.056595,
utils_isExpirable,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_isExpirable_llzk/utils_isExpirable.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_isExpirable.llzk,isExpirable_0,success,0.046854,
utils_isUpdatable,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_isUpdatable_llzk/utils_isUpdatable.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_isUpdatable.llzk,isUpdatable_0,success,0.048857,
utils_verifyCredentialSubject,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_verifyCredentialSubject_llzk/utils_verifyCredentialSubject.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_verifyCredentialSubject.llzk,verifyCredentialSubject_9,success,0.111880,
utils_verifyExpirationTime,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/utils_verifyExpirationTime_llzk/utils_verifyExpirationTime.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/utils_verifyExpirationTime.llzk,verifyExpirationTime_10,success,0.106554,
verify,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/verify_llzk/verify.llzk,,ECDSAVerifyNoPubkeyCheck_57,error,49.135559,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/verify_llzk/verify.llzk:2890:17: warning: failed to transform op: could not identify an upper bound
        %1024 = scf.while (%arg6 = %1023) : (!felt.type<""bn128"">) -> !felt.type<""bn128""> {
                ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/verify_llzk/verify.llzk:2890:17: note: see current operation: 
%1027 = scf.while (%arg6 = %1026) : (!felt.type<""bn128"">) -> !felt.type<""bn128""> {
  %felt_const_0_1820 = felt.const  0 "
